temp,temp_min,temp_max,pressure,humidity,sea_level,ground_level,wind_speed,wind_degree,cloud,population,date,year,month,day,dayofweek
39.31,39.31,39.31,1006,34,1006,1003,1.19,158,45,8642,2024-02-21,2024,2,21,2
38.620000000000005,38.620000000000005,38.620000000000005,1006,32,1006,986,1.92,248,58,13633,2024-02-21,2024,2,21,2
39.400000000000034,39.400000000000034,39.400000000000034,1006,30,1006,985,1.46,250,60,11959,2024-02-21,2024,2,21,2
38.19,38.19,38.19,1006,32,1006,978,2.03,224,51,12227,2024-02-21,2024,2,21,2
38.110000000000014,38.110000000000014,38.110000000000014,1006,33,1006,979,1.73,207,36,13261,2024-02-21,2024,2,21,2
37.26000000000005,37.26000000000005,37.26000000000005,1006,32,1006,963,1.62,223,42,13261,2024-02-21,2024,2,21,2
39.44,39.44,39.44,1006,30,1006,987,0.88,304,40,12863,2024-02-21,2024,2,21,2
39.59000000000003,39.59000000000003,39.59000000000003,1006,28,1006,972,0.54,65,48,11026,2024-02-21,2024,2,21,2
37.379999999999995,37.379999999999995,37.379999999999995,1007,26,1007,950,0.47,197,82,6954,2024-02-21,2024,2,21,2
38.04000000000002,38.04000000000002,38.04000000000002,1006,28,1006,956,1.21,43,51,16319,2024-02-21,2024,2,21,2
39.55000000000001,39.55000000000001,39.55000000000001,1006,34,1006,1003,1.04,127,37,8731,2024-02-21,2024,2,21,2
39.64000000000004,39.64000000000004,39.64000000000004,1005,30,1005,995,1.78,23,46,9861,2024-02-21,2024,2,21,2
38.660000000000025,38.660000000000025,38.660000000000025,1006,30,1006,979,1.7,256,62,18364,2024-02-21,2024,2,21,2
39.910000000000025,39.910000000000025,39.910000000000025,1005,30,1005,995,1.41,13,46,7555,2024-02-21,2024,2,21,2
39.31,39.31,39.31,1006,32,1006,989,1.47,198,30,10560,2024-02-21,2024,2,21,2
39.44,39.44,39.44,1006,29,1006,983,1.38,230,54,13183,2024-02-21,2024,2,21,2
38.660000000000025,38.660000000000025,38.660000000000025,1006,35,1006,997,1.64,241,41,10767,2024-02-21,2024,2,21,2
39.0,39.0,39.0,1006,28,1006,969,0.61,38,53,56466,2024-02-21,2024,2,21,2
38.54000000000002,38.54000000000002,38.54000000000002,1006,30,1006,975,1.64,250,60,14515,2024-02-21,2024,2,21,2
39.75,39.75,39.75,1006,29,1006,985,1.82,50,42,11026,2024-02-21,2024,2,21,2
38.670000000000016,38.670000000000016,38.670000000000016,1006,34,1006,998,1.82,245,54,8683,2024-02-21,2024,2,21,2
38.450000000000045,38.450000000000045,38.450000000000045,1006,33,1006,991,2.22,249,55,8642,2024-02-21,2024,2,21,2
39.110000000000014,39.110000000000014,39.110000000000014,1006,28,1006,970,0.36,26,55,56466,2024-02-21,2024,2,21,2
37.870000000000005,37.870000000000005,37.870000000000005,1006,26,1006,951,0.28,168,71,4023,2024-02-21,2024,2,21,2
38.55000000000001,38.55000000000001,38.55000000000001,1006,29,1006,969,1.36,272,67,19378,2024-02-21,2024,2,21,2
37.870000000000005,37.870000000000005,37.870000000000005,1006,33,1006,976,1.77,211,39,13261,2024-02-21,2024,2,21,2
37.83000000000004,37.83000000000004,37.83000000000004,1006,33,1006,976,1.79,211,38,13261,2024-02-21,2024,2,21,2
37.960000000000036,37.960000000000036,37.960000000000036,1007,26,1007,955,0.31,234,81,9155,2024-02-21,2024,2,21,2
39.18000000000001,39.18000000000001,39.18000000000001,1006,34,1006,1002,1.23,202,53,8642,2024-02-21,2024,2,21,2
38.22000000000003,38.22000000000003,38.22000000000003,1007,29,1007,967,0.87,205,80,9934,2024-02-21,2024,2,21,2
39.51000000000005,39.51000000000005,39.51000000000005,1006,29,1006,984,1.62,51,41,11026,2024-02-21,2024,2,21,2
39.43000000000001,39.43000000000001,39.43000000000001,1006,32,1006,990,1.45,192,28,9451,2024-02-21,2024,2,21,2
